lang,source_ipa,target_ipa
*,ɜ,e
*,ɓ,b
*,ʎ,l
*,χ,h
*,r,r
*,ɲ,n
*,ɬ,l
*,ʐ,z
*,k,k
*,ɶ,o
*,ç,ʃ
*,ⱱ,v
*,ʑ,z
*,ʀ,r
*,p,p
*,ʨ,t
*,ħ,h
*,ɥ,j
*,ʁ,r
*,ɹ,r
*,ɑ,a
*,ɰ,u
*,ɗ,d
*,l,l
*,e,e
*,ɢ,g
*,ɡ,g
*,ʟ,l
*,ɭ,l
*,ʡ,h
*,θ,s
*,ø,o
*,b,b
*,t,t
*,ɳ,n
*,ʂ,ʃ
*,ɫ,l
*,ɺ,r
*,s,s
*,g,g
*,ɒ,a
*,ʜ,h
*,m,m
*,ʘ,p
*,ʋ,v
*,ʌ,u
*,z,z
*,ʤ,dʒ
*,ʒ,z
*,o,o
*,ɐ,a
*,ʧ,t
*,ʥ,dʒ
*,ð,z
*,n,n
*,u,u
*,ʢ,h
*,ɛ,e
*,ɮ,l
*,ɻ,r
*,ŋ,ŋ
*,ʍ,v
*,ɖ,d
*,i,i
*,h,h
*,ʏ,i
*,ɴ,n
*,ʝ,j
*,ʕ,h
*,a,a
*,d,d
*,ʈ,t
*,ɵ,o
*,ʃ,ʃ
*,ʛ,g
*,ʊ,u
*,v,v
*,j,j
*,æ,a
*,ə,e
*,ɘ,e
*,ɞ,e
*,ʔ,h
*,ɽ,r
*,ɦ,h
*,ɾ,r
*,ɯ,u
*,ɸ,f
*,ʙ,b
*,f,f
*,ɱ,m
*,œ,o
*,w,v
*,x,h
*,y,i
*,ß,s
*,à,e
*,á,e
*,â,e
*,ã,n
*,ä,u
*,å,a
*,è,e
*,é,e
*,î,e
*,ï,i
*,ñ,n
*,ô,e
*,õ,on
*,ö,u
*,ü,u
*,ÿ,i
*,ĩ,n
*,š,ʃ
*,ũ,n
*,ɣ,g
*,ɤ,o
*,ʰ,h
*,ι,i
*,ν,n
*,ο,o
*,τ,t
*,ẽ,n
*,ɪ,i
*,ă,a
*,ɑ̃,an
*,ɛ̃,en
