Rank,Language,Total Speakers,Native Speakers,Language_code
1,English,1132000,379000000,en
2,Mandarin Chinese,1117000,918000000,zh_cn
3,Hindi,615000000,341000000,hi
4,Spanish,534000000,460000000,es
5,French,280000000,77000000,fr
6,Standard Arabic,274000000,,ar
7,Bengali,265000000,228000000,bn
8,Russian,258000000,154000000,ru
9,Portuguese,234000000,221000000,pt
10,Indonesian,199000000,43000000,id
11,Urdu,170000000,69000000,ur
12,Standard German,132000000,76000000,de
13,Japanese,128000000,128000000,ja
14,Swahili,98000000,16000000,
15,Marathi,95000000,83000000,
16,Telugu,93000000,82000000,te
17,Western Punjabi,93000000,93000000,
18,Wu Chinese,82000000,81000000,zh_cn
19,Tamil,81000000,75000000,ta
20,Turkish,80000000,69000000,tr
21,Korean,77000000,77000000,ko
22,Vietnamese,77000000,76000000,vi
23,Yue Chinese,74000000,73000000,zh_cn
24,Javanese,68000000,68000000,
25,Italian,68000000,65000000,it
26,Egyptian Spoken Arabic,65000000,65000000,ar
27,Hausa,63000000,44000000,
28,Thai,61000000,21000000,th
29,Gujarati,61000000,56000000,
30,Kannada,56000000,44000000,
31,Iranian Persian,53000000,53000000,fa
32,Bhojpuri,52000000,52000000,
33,Southern Min Chinese,50000000,50000000,zh_cn
34,Hakka Chinese,48000000,48000000,zh_cn
35,Jinyu Chinese,47000000,47000000,zh_cn
36,Filipino,45000000,,tl
37,Burmese,43000000,33000000,
38,Polish,40000000,40000000,pl
39,Yoruba,40000000,38000000,
40,Odia,38000000,34000000,
41,Malayalam,38000000,37000000,ml
42,Xiang Chinese,37000000,37000000,zh_cn
43,Maithili,34000000,34000000,
44,Ukrainian,33000000,27000000,uk
45,Moroccan Spoken Arabic,33000000,27000000,ar
46,Eastern Punjabi,33000000,33000000,
47,Sunda,32000000,32000000,
48,Algerian Spoken Arabic,32000000,29000000,ar
49,Sudanese Spoken Arabic,32000000,32000000,ar
50,Nigerian Pidgin,30000000,
51,Zulu,28000000,12000000,
52,Igbo,27000000,27000000,
53,Amharic,26000000,22000000,
54,Northern Uzbek,25000000,25000000,uz
55,Sindhi,25000000,25000000,
56,North Levantine  Spoken Arabic,25000000,25000000,ar
57,Nepali,25000000,16000000,
58,Romanian,24000000,24000000,ro
59,Tagalog,24000000,24000000,tl
60,Dutch,23000000,23000000,nl
61,Sa'idi Spoken Arabic,22000000,22000000,ar
62,Gan Chinese,22000000,22000000,zh_cn
63,Northern Pashto,21000000,21000000,
64,Magahi,21000000,21000000,
65,Saraiki,20000000,20000000,
66,Xhosa,19000000,8000000,
67,Malay,19000000,16000000,ms
68,Khmer,18000000,17000000,
69,Afrikaans,18000000,7000000,af
70,Sinhala,17000000,15000000,si
71,Somali,16000000,16000000,
72,Chhattisgarhi,16000000,16000000,
73,Cebuano,16000000,16000000,
74,Mesopotamian Spoken Arabic,16000000,16000000,ar
75,Assamese,15000000,15000000,
76,Northeastern Thai,15000000,15000000,th
77,Northern Kurdish,15000000,15000000,
78,Hijazi Spoken Arabic,15000000,15000000,ar
79,Nigerian Fulfulde,14000000,14000000,
80,Bavarian,14000000,14000000,
81,Bamanankan,14000000,4000000,
82,South Azerbaijani,14000000,14000000,
83,Northern Sotho,14000000,5000000,
84,Setswana,14000000,6000000,
85,Souther Sotho,14000000,6000000,
86,Czech,13000000,11000000,cs
87,Greek,13000000,13000000,el
88,Chittagonian,13000000,13000000,
89,Kazakh,13000000,13000000,kk
90,Swedish,13000000,10000000,sv
91,Deccan,13000000,13000000,
92,Hungarian,13000000,13000000,hu
93,Jula,12000000,2000000,
94,Sadri,12000000,5000000,
95,Kinyarwanda,12000000,12000000,
96,Cameroonian Pidgin,12000000,
97,Sylheti,12000000,10000000,
98,South Levantine Spoken Arabic,12000000,12000000,ar
99,Tunisian Spoken Arabic,12000000,12000000,ar
100,Sanaani  Spoken Arabic,11000000,11000000,ar
